metagenome	source	domain	phylum	class	order	family	genus	species	abundance	avg eValue	avg % ident	avg align len	# hits	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium hippocoleae	1	-48.00	100.00	96.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium phocae	1813	-21.00	100.00	50.00	1	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	12	-32.00	100.00	69.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	31	-32.00	100.00	69.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	9	-32.00	100.00	69.00	1	
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	4	-32.00	100.00	69.00	1	
4640037.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	83	-34.00	100.00	72.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	6	-34.00	100.00	72.00	1	
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	5	-32.00	100.00	69.00	1	
4640043.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	7	-32.00	100.00	69.00	1	
4640032.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	6	-30.17	100.00	65.83	1	
4640046.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	8	-34.00	100.00	72.00	1	
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	6	-32.00	100.00	69.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	5	-29.00	100.00	64.00	1	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	12	-99.00	100.00	182.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	1	-27.00	100.00	62.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	32	-101.50	99.50	188.44	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	9	-103.00	99.48	191.00	1	
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	4	-103.00	99.48	191.00	1	
4640036.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	2	-68.00	100.00	130.00	1	
4640037.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	83	-101.00	99.47	188.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	6	-54.00	100.00	107.00	1	
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	5	-104.00	100.00	191.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	29	-54.00	100.00	107.00	1	
4640043.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	7	-103.00	99.48	191.00	1	
4640032.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	6	-95.50	99.57	178.17	1	
4640046.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	8	-105.00	99.48	194.00	1	
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	6	-103.00	99.48	191.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	1819	-54.07	100.00	107.17	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bonasi	1	-21.00	100.00	50.00	1	
4640036.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bonasi	2	-21.00	100.00	50.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bonasi	1	-21.00	100.00	50.00	1	
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Catenulisporaceae	Catenulispora	Catenulispora yoronensis	1	-22.00	100.00	53.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium amycolatum	14	-84.00	100.00	156.50	2	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium aurimucosum	6	-135.00	100.00	243.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium bovis	19	-58.00	96.09	128.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	1	-108.00	100.00	197.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	1	-114.00	100.00	208.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	142	-114.00	100.00	208.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	1	-114.00	100.00	208.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	11	-114.00	100.00	208.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	1	-80.00	100.00	151.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	2	-80.50	100.00	151.50	2	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	47	-45.00	100.00	92.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	2	-80.50	100.00	151.50	2	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium riegelii	3	-53.00	100.00	104.00	1	
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium riegelii	1	-53.00	100.00	104.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium riegelii	2	-53.00	100.00	104.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	1	-125.00	100.00	226.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	1	-131.00	100.00	237.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	142	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	3	-92.33	100.00	171.00	3	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	11	-131.00	100.00	237.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	1	-131.00	100.00	237.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1145	1	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1145	1	-125.00	100.00	226.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1146	1	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1146	1	-125.00	100.00	226.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1147	1	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1147	1	-125.00	100.00	226.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1149	1	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1149	1	-125.00	100.00	226.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1150	1	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1150	1	-125.00	100.00	226.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1151	1	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1151	1	-125.00	100.00	226.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1152	1	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1152	1	-125.00	100.00	226.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 3010	1	-131.00	100.00	237.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 3010	1	-125.00	100.00	226.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium tuberculostearicum	1	-134.00	100.00	241.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium urealyticum	6	-131.33	99.31	242.33	2	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium vitaeruminis	3	-78.00	95.24	168.00	1	
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium vitaeruminis	1	-78.00	95.24	168.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium vitaeruminis	2	-78.00	95.24	168.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium paraconglomeratum	2	-133.00	100.00	239.00	1	
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium paraconglomeratum	1	-36.00	100.00	76.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dermacoccaceae	Dermacoccus	Dermacoccus sp. Ellin185	1	-23.00	100.00	54.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dietziaceae	Dietzia	Dietzia maris	1	-130.00	99.58	239.00	1	
4640032.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus obscurus	3	-53.00	100.00	104.00	1	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Intrasporangiaceae	Janibacter	Janibacter limosus	1	-35.00	97.37	76.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Intrasporangiaceae	Tetrasphaera	Tetrasphaera japonica	5	-44.00	100.00	89.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Microbacteriaceae	Mycetocola	Mycetocola saprophilus	1	-21.00	100.00	50.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Microbacteriaceae	Mycetocola	Mycetocola saprophilus	1	-47.00	100.00	94.00	1	
4640037.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Microbacteriaceae	Rathayibacter	Rathayibacter rathayi	13	-51.00	100.00	102.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter keyseri	1	-110.00	99.50	202.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter oxydans	1	-69.00	100.00	132.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter ramosus	1	-80.00	99.34	152.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter sp. FG1	1	-80.00	99.34	152.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Kocuria	Kocuria rosea	1	-44.00	100.00	90.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Kocuria	Kocuria sp. JL-51	1	-122.00	100.00	221.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Kocuria	Kocuria sp. JL-51	1	-133.00	100.00	240.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus	1	-135.00	100.00	243.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus	11	-132.00	99.18	245.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus	1	-135.00	100.00	243.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus lylae	1	-52.00	99.04	104.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus sp. SMCC ZAT351	1	-120.00	98.64	221.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus sp. SMCC ZAT351	1	-131.00	98.75	240.00	1	
4640043.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Rothia	Rothia mucilaginosa	8	-134.00	100.00	242.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium asiaticum	3	-81.00	99.34	152.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium hassiacum	4	-55.00	100.00	107.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium simulans	3	-80.00	98.68	152.00	1	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium sphagni	1	-47.00	98.00	100.00	1	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardiaceae	Nocardia	Nocardia sp. H17-1	1	-133.00	100.00	239.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardiaceae	Nocardia	Nocardia sp. H17-1	15	-132.00	99.58	239.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	1	-119.00	100.00	217.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides sp.	1	-51.00	100.00	101.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides sp. CF8	8	-52.00	100.00	103.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides sp. JS614	4	-61.00	99.16	119.00	1	
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Pimelobacter	Pimelobacter simplex	1	-52.00	99.04	104.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Pimelobacter	Pimelobacter simplex	4	-52.00	99.04	104.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	30	-133.00	100.00	239.00	1	
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	3	-133.00	100.00	239.00	1	
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	1	-133.00	100.00	239.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	1	-133.00	100.00	239.00	1	
4640043.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	9	-133.00	100.00	239.00	1	
4640046.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	5	-107.00	100.00	196.00	1	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	62	-115.00	99.25	215.67	2	
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia saturnea	1	-79.00	100.00	148.00	1	
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia saturnea	2	-79.00	100.00	148.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Thermomonosporaceae	Actinomadura	Actinomadura formosensis	3	-36.00	100.00	75.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum	8	-124.00	100.00	224.00	1	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium minutum	3	-25.00	100.00	58.00	1	
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium minutum	5	-25.00	100.00	58.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium minutum	1	-23.00	100.00	54.00	1	
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium minutum	1	-25.00	100.00	58.00	1	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	3	-29.00	100.00	65.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	1	-58.00	100.00	113.00	1	
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	5	-29.00	100.00	65.00	1	
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	1	-29.00	100.00	65.00	1	
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	1	-29.00	100.00	65.00	1	
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium vaginae	1	-21.00	100.00	51.00	1	
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Eggerthella	Eggerthella lenta	3	-24.00	100.00	56.00	1	
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Eggerthella	Eggerthella lenta	1	-24.00	100.00	56.00	1	
4640036.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Gordonibacter	Gordonibacter pamelaeae	64	-28.00	100.00	63.00	2	
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Gordonibacter	Gordonibacter pamelaeae	4	-28.00	100.00	63.00	2	
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Gordonibacter	Gordonibacter pamelaeae	838	-28.00	100.00	63.00	2	
4640030.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	245	-21.00	100.00	51.00	1	
4640039.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	2	-22.00	100.00	52.00	1	
