[15, 12, 4, 3, 3, 3, 3, 3, 3, 1]
[14, 11, 6, 5, 5, 3, 2, 2, 1, 1]
[12, 11, 8, 5, 5, 4, 2, 1, 1, 1]
[22, 8, 5, 3, 3, 3, 2, 2, 1, 1]
[11, 9, 9, 6, 6, 3, 3, 1, 1, 1]
[11, 9, 6, 4, 4, 4, 3, 3, 3, 3]
[14, 13, 8, 5, 3, 3, 1, 1, 1, 1]
[11, 11, 6, 6, 4, 4, 3, 3, 1, 1]
[11, 7, 7, 6, 5, 5, 3, 2, 2, 2]
[16, 11, 6, 3, 3, 3, 3, 3, 1, 1]
[13, 13, 7, 5, 5, 2, 2, 1, 1, 1]
[17, 6, 4, 4, 4, 4, 4, 3, 2, 2]
[15, 7, 7, 4, 4, 4, 4, 3, 1, 1]
[10, 8, 8, 5, 5, 3, 3, 3, 3, 2]
[28, 7, 6, 3, 1, 1, 1, 1, 1, 1]
[17, 17, 4, 3, 3, 2, 1, 1, 1, 1]
[12, 12, 11, 3, 2, 2, 2, 2, 2, 2]
[12, 8, 6, 6, 5, 3, 3, 3, 3, 1]
[12, 9, 8, 4, 4, 4, 4, 3, 1, 1]
[12, 9, 7, 4, 4, 4, 3, 3, 2, 2]
[10, 7, 7, 5, 5, 5, 3, 3, 3, 2]
[20, 13, 6, 5, 1, 1, 1, 1, 1, 1]
[18, 7, 6, 6, 3, 3, 3, 2, 1, 1]
[25, 13, 2, 2, 2, 2, 1, 1, 1, 1]
[19, 8, 6, 5, 3, 3, 2, 2, 1, 1]
[12, 10, 8, 7, 7, 2, 1, 1, 1, 1]
[11, 10, 7, 6, 5, 4, 4, 1, 1, 1]
[12, 6, 6, 6, 6, 5, 3, 3, 2, 1]
[20, 8, 8, 5, 3, 2, 1, 1, 1, 1]
[21, 12, 6, 3, 3, 1, 1, 1, 1, 1]
[16, 10, 6, 3, 3, 3, 3, 3, 2, 1]
[12, 9, 7, 7, 5, 4, 3, 1, 1, 1]
[15, 10, 5, 5, 5, 4, 3, 1, 1, 1]
[26, 11, 4, 3, 1, 1, 1, 1, 1, 1]
[14, 11, 7, 7, 2, 2, 2, 2, 2, 1]
[12, 10, 4, 4, 4, 4, 4, 4, 2, 2]
[13, 10, 9, 6, 3, 2, 2, 2, 2, 1]
[14, 8, 4, 4, 4, 4, 3, 3, 3, 3]
[22, 10, 4, 3, 3, 3, 2, 1, 1, 1]
[17, 8, 7, 6, 3, 3, 3, 1, 1, 1]
[12, 10, 8, 8, 7, 1, 1, 1, 1, 1]
[11, 10, 7, 7, 5, 5, 2, 1, 1, 1]
[15, 10, 7, 4, 3, 3, 3, 3, 1, 1]
