metagenome	source	domain	phylum	class	order	family	genus	species	abundance	avg eValue	avg % ident	avg align len
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium hippocoleae	1	-48	100	96
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium phocae	1813	-21	100	50
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	12	-32	100	69
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	31	-32	100	69
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	9	-32	100	69
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	4	-32	100	69
4640037.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	83	-34	100	72
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	6	-34	100	72
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	5	-32	100	69
4640043.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	7	-32	100	69
4640032.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	6	-30.17	100	65.83
4640046.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	8	-34	100	72
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	6	-32	100	69
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium pluranimalium	5	-29	100	64
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	12	-99	100	182
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	1	-27	100	62
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	32	-101.5	99.5	188.44
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	9	-103	99.48	191
